17.01.25
Start: Time: 09:33 OCV: 4.2V Load-V: 3.7xxV
End: Time: 14:06 OCV: 3.463V Load-V: 2.845V

Ready to receive

0: raw: 825, soc: 93, lbo: 0
264: raw: 681, soc: 33, lbo: 0

264: raw: 656, soc: 23, lbo: 0

265: raw: 680, soc: 33, lbo: 0

265: raw: 657, soc: 23, lbo: 0

266: raw: 679, soc: 32, lbo: 0

266: raw: 651, soc: 21, lbo: 0

267: raw: 679, soc: 32, lbo: 0

267: raw: 652, soc: 21, lbo: 0

268: raw: 678, soc: 32, lbo: 0

268: raw: 653, soc: 22, lbo: 0

269: raw: 678, soc: 32, lbo: 0

269: raw: 651, soc: 21, lbo: 0

270: raw: 676, soc: 31, lbo: 0

270: raw: 651, soc: 21, lbo: 0

271: raw: 676, soc: 31, lbo: 0

271: raw: 651, soc: 21, lbo: 0

272: raw: 675, soc: 31, lbo: 0

272: raw: 652, soc: 21, lbo: 0

273: raw: 674, soc: 30, lbo: 0

273: raw: 653, soc: 22, lbo: 0

